@relation emm-weka.filters.unsupervised.attribute.Remove-R8-32

@attribute C numeric
@attribute coef0 numeric
@attribute gamma numeric
@attribute kernel {poly,sigmoid,rbf}
@attribute tol numeric
@attribute y numeric
@attribute task_id numeric

@data
162.734738,0.471605,0.327973,poly,0.001108,0.993116,3
9.845979,0.36898,0.004604,poly,0.000089,0.993742,3
84.691746,0.00201,0.000094,sigmoid,0.002602,0.939925,3
0.127243,0.462902,0.025133,rbf,0.000268,0.930538,3
953.723552,0.273139,0.034387,sigmoid,0.01542,0.522528,3
0.877194,0.675981,0.354179,sigmoid,0.00617,0.522215,3
1.944874,-0.86645,1.408521,sigmoid,0.080096,0.522215,3
0.037123,0.412822,0.000085,poly,0.001764,0.84199,3
2.899607,-0.998491,0.549201,poly,0.000086,0.993742,3
29.320782,-0.845658,0.001868,sigmoid,0.00002,0.599499,3
973.427082,0.593015,0.006111,sigmoid,0.000128,0.533479,3
1.198406,0.383464,0.027549,poly,0.006171,0.993742,3
2872.660398,-0.716379,0.01217,poly,0.085928,0.994681,3
0.577034,0.535661,1.944646,sigmoid,0.016179,0.522215,3
2.406489,-0.379459,3.3391,sigmoid,0.000357,0.522215,3
0.746115,-0.82986,0.13394,sigmoid,0.000024,0.522215,3
0.29111,0.813265,0.605635,sigmoid,0.008633,0.522215,3
0.417259,-0.037757,0.000065,rbf,0.004774,0.848874,3
7.240106,-0.292887,0.045763,rbf,0.000606,0.987484,3
0.042754,-0.15897,0.000441,poly,0.051577,0.894556,3
14.096247,0.801294,0.000215,sigmoid,0.000114,0.920526,3
7.434197,-0.569498,0.000063,rbf,0.004033,0.918648,3
1.037077,0.744711,0.234236,rbf,0.006739,0.946183,3
111.180316,0.970858,0.061105,rbf,0.000076,0.984355,3
2.614984,-0.694856,0.002476,poly,0.000353,0.988736,3
4.134681,-0.230547,0.000685,rbf,0.000274,0.939925,3
61.677706,-0.576258,0.029773,sigmoid,0.008664,0.523154,3
243.69769,-0.98795,0.000138,rbf,0.014084,0.950876,3
792.607812,0.092393,1.062959,poly,0.000359,0.994055,3
27740.334401,0.238993,1.358758,poly,0.000022,0.993742,3
1.89146,-0.861025,0.001198,rbf,0.00025,0.941176,3
0.557647,0.153936,0.002184,poly,0.000018,0.993429,3
119.916678,-0.701908,0.790558,rbf,0.044904,0.550688,3
3680.302663,-0.166903,0.006649,sigmoid,0.000707,0.534418,3
393.135158,0.334833,0.000259,poly,0.000151,0.97403,3
149.186463,-0.706334,0.000062,sigmoid,0.014451,0.939925,3
