% Generated using openml-multitask repository
@RELATION multitask-svm

@ATTRIBUTE gamma-log NUMERIC
@ATTRIBUTE score-at-task-3 NUMERIC
@ATTRIBUTE score-at-task-11 NUMERIC
@ATTRIBUTE score-at-task-12 NUMERIC
@ATTRIBUTE score-at-task-14 NUMERIC
@ATTRIBUTE score-at-task-15 NUMERIC
@ATTRIBUTE score-at-task-16 NUMERIC
@ATTRIBUTE score-at-task-18 NUMERIC
@ATTRIBUTE score-at-task-22 NUMERIC
@ATTRIBUTE score-at-task-23 NUMERIC
@ATTRIBUTE score-at-task-28 NUMERIC

@DATA
-15.0,0.641427,0.7024,0.8835,0.695,0.655222,0.8715,0.53,0.6545,0.42702,0.68879
-14.0,0.817897,0.7024,0.918,0.697,0.655222,0.8715,0.53,0.658,0.42702,0.901246
-13.0,0.888298,0.7024,0.942,0.716,0.842632,0.882,0.5305,0.704,0.42702,0.930961
-12.0,0.92428,0.7072,0.9585,0.748,0.938484,0.9145,0.5315,0.735,0.42702,0.948399
-11.0,0.920526,0.872,0.9665,0.7805,0.949928,0.9425,0.59,0.768,0.42702,0.960676
-10.0,0.920213,0.8752,0.971,0.7955,0.961373,0.952,0.657,0.796,0.427699,0.968149
-9.0,0.940551,0.8688,0.9735,0.813,0.967096,0.9585,0.6965,0.812,0.477257,0.97758
-8.0,0.948373,0.8688,0.977,0.821,0.968526,0.966,0.6975,0.8235,0.493551,0.982028
-7.0,0.966834,0.9088,0.978,0.83,0.968526,0.973,0.701,0.832,0.503055,0.985943
-6.0,0.989049,0.896,0.973,0.831,0.969957,0.976,0.7015,0.8335,0.535642,0.987011
-5.0,0.98811,0.904,0.955,0.819,0.968526,0.9745,0.7075,0.8325,0.535642,0.985943
-4.0,0.979036,0.9088,0.854,0.7575,0.969957,0.946,0.7105,0.816,0.519348,0.979537
-3.0,0.966521,0.9088,0.599,0.588,0.967096,0.6975,0.7115,0.783,0.492193,0.951601
-2.0,0.906446,0.9024,0.2405,0.3165,0.964235,0.255,0.729,0.705,0.494229,0.833808
-1.0,0.549124,0.896,0.136,0.182,0.959943,0.1475,0.731,0.498,0.492872,0.477936
0.0,0.522215,0.8848,0.1215,0.137,0.957082,0.126,0.731,0.2565,0.494908,0.137189
1.0,0.522215,0.8768,0.115,0.115,0.939914,0.114,0.7305,0.1405,0.487441,0.109786
2.0,0.522215,0.8928,0.114,0.108,0.917024,0.113,0.724,0.1035,0.46368,0.103203
3.0,0.522215,0.896,0.133,0.1465,0.872675,0.2435,0.7235,0.0975,0.449423,0.101779
% 
% 
% 
