% Data obtained from Wistuba et. al; https://github.com/wistuba/TST
@RELATION ongrid-svm

@ATTRIBUTE kernel_rbf NUMERIC
@ATTRIBUTE kernel_poly NUMERIC
@ATTRIBUTE kernel_linear NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE gamma NUMERIC
@ATTRIBUTE degree NUMERIC
@ATTRIBUTE y-on-seismic NUMERIC
@ATTRIBUTE y-on-automobile NUMERIC
@ATTRIBUTE y-on-shuttle NUMERIC
@ATTRIBUTE y-on-segment NUMERIC
@ATTRIBUTE y-on-chess NUMERIC
@ATTRIBUTE y-on-magic NUMERIC
@ATTRIBUTE y-on-titanic NUMERIC
@ATTRIBUTE y-on-pima NUMERIC
@ATTRIBUTE y-on-spectfheart NUMERIC
@ATTRIBUTE y-on-abalone NUMERIC
@ATTRIBUTE y-on-ecoli NUMERIC
@ATTRIBUTE y-on-banana NUMERIC
@ATTRIBUTE y-on-bands NUMERIC
@ATTRIBUTE y-on-ring NUMERIC
@ATTRIBUTE y-on-lymphography NUMERIC
@ATTRIBUTE y-on-tic-tac-toe NUMERIC
@ATTRIBUTE y-on-german-numer NUMERIC
@ATTRIBUTE y-on-splice NUMERIC
@ATTRIBUTE y-on-diabetes NUMERIC
@ATTRIBUTE y-on-appendicitis NUMERIC
@ATTRIBUTE y-on-sonar-scale NUMERIC
@ATTRIBUTE y-on-twonorm NUMERIC
@ATTRIBUTE y-on-wdbc NUMERIC
@ATTRIBUTE y-on-australian NUMERIC
@ATTRIBUTE y-on-letter NUMERIC
@ATTRIBUTE y-on-usps NUMERIC
@ATTRIBUTE y-on-led7digit NUMERIC
@ATTRIBUTE y-on-winequality-red NUMERIC
@ATTRIBUTE y-on-bupa NUMERIC
@ATTRIBUTE y-on-spambase NUMERIC
@ATTRIBUTE y-on-coil2000 NUMERIC
@ATTRIBUTE y-on-W8A NUMERIC
@ATTRIBUTE y-on-A9A NUMERIC
@ATTRIBUTE y-on-vehicle NUMERIC
@ATTRIBUTE y-on-crx NUMERIC
@ATTRIBUTE y-on-pendigits NUMERIC
@ATTRIBUTE y-on-saheart NUMERIC
@ATTRIBUTE y-on-car NUMERIC
@ATTRIBUTE y-on-housevotes NUMERIC
@ATTRIBUTE y-on-monk-2 NUMERIC
@ATTRIBUTE y-on-cod-rna NUMERIC
@ATTRIBUTE y-on-colon-cancer NUMERIC
@ATTRIBUTE y-on-phoneme NUMERIC
@ATTRIBUTE y-on-haberman NUMERIC
@ATTRIBUTE y-on-wine NUMERIC
@ATTRIBUTE y-on-wisconsin NUMERIC
@ATTRIBUTE y-on-yeast NUMERIC
@ATTRIBUTE y-on-breast-cancer NUMERIC
@ATTRIBUTE y-on-kr-vs-k NUMERIC
@ATTRIBUTE y-on-ijcnn1 NUMERIC

@DATA
1.0,0.0,0.0,-0.8333333333333334,-1.0,0.0,0.494875,0.1875,0.781954,0.121212,0.503125,0.654837,0.659864,0.668831,0.740741,0.155689,0.382353,0.55,0.671233,0.495946,0.433333,0.6875,0.745,0.497638,0.62987,0.772727,0.547619,0.500676,0.578947,0.543478,0.0363333,0.312903,0.06,0.45625,0.681159,0.63587,0.942494,0.969861,0.757908,0.252941,0.557252,0.0995907,0.602151,0.713873,0.574468,0.505747,0.666757,0.692308,0.708603,0.677419,0.416667,0.635036,0.299663,0.583942,0.164113,0.902648
1.0,0.0,0.0,-0.8333333333333334,-0.75,0.0,0.627423,0.1875,0.781954,0.121212,0.503125,0.654837,0.659864,0.668831,0.740741,0.155689,0.382353,0.55,0.671233,0.495946,0.433333,0.6875,0.745,0.497638,0.62987,0.772727,0.547619,0.500676,0.578947,0.543478,0.0363333,0.762366,0.06,0.45625,0.681159,0.63587,0.942494,0.969861,0.781759,0.252941,0.557252,0.0995907,0.602151,0.713873,0.574468,0.505747,0.666772,0.692308,0.708603,0.677419,0.416667,0.635036,0.299663,0.583942,0.164113,0.902648
1.0,0.0,0.0,-0.8333333333333334,-0.5,0.0,0.693545,0.1875,0.785862,0.277056,0.698438,0.654837,0.659864,0.668831,0.740741,0.155689,0.382353,0.55,0.671233,0.495946,0.433333,0.6875,0.745,0.83937,0.62987,0.772727,0.547619,0.514865,0.578947,0.543478,0.053,0.934946,0.06,0.45625,0.681159,0.63587,0.942494,0.970479,0.834988,0.252941,0.557252,0.786266,0.602151,0.713873,0.574468,0.505747,0.922272,0.692308,0.708603,0.677419,0.416667,0.635036,0.299663,0.729927,0.211333,0.902648
1.0,0.0,0.0,-0.8333333333333334,-0.3252574989159953,0.0,0.707094,0.1875,0.848736,0.577922,0.875,0.751052,0.659864,0.668831,0.740741,0.155689,0.382353,0.55,0.671233,0.495946,0.433333,0.6875,0.745,0.538583,0.62987,0.772727,0.547619,0.982432,0.578947,0.855072,0.367667,0.63172,0.06,0.45625,0.681159,0.63587,0.942494,0.971252,0.826594,0.317647,0.801527,0.892678,0.602151,0.713873,0.914894,0.505747,0.958162,0.692308,0.708603,0.677419,0.416667,0.861314,0.299663,0.970803,0.235745,0.902648
1.0,0.0,0.0,-0.8333333333333334,-0.25,0.0,0.711966,0.1875,0.905862,0.857143,0.903125,0.766824,0.752834,0.668831,0.740741,0.155689,0.382353,0.55,0.671233,0.556081,0.433333,0.6875,0.745,0.497638,0.62987,0.772727,0.547619,0.983784,0.640351,0.855072,0.502,0.355376,0.06,0.45625,0.681159,0.63587,0.942494,0.971252,0.807452,0.452941,0.816794,0.931332,0.602151,0.713873,0.93617,0.505747,0.96023,0.692308,0.708603,0.677419,0.416667,0.941606,0.299663,0.970803,0.248396,0.902648
1.0,0.0,0.0,-0.8333333333333334,-0.0752574989159953,0.0,0.724754,0.1875,0.923218,0.872294,0.503125,0.807834,0.759637,0.668831,0.740741,0.177246,0.382353,0.55,0.671233,0.897297,0.433333,0.6875,0.745,0.497638,0.62987,0.772727,0.547619,0.983108,0.938596,0.775362,0.712667,0.269355,0.39,0.50625,0.681159,0.802174,0.942494,0.97102,0.757908,0.447059,0.557252,0.968622,0.602151,0.713873,0.574468,0.632184,0.961393,0.692308,0.723404,0.677419,0.472222,0.970803,0.299663,0.963504,0.222559,0.902648
1.0,0.0,0.0,-0.8333333333333334,0.75,0.0,0.494875,0.1875,0.99069,0.121212,0.503125,0.654837,0.759637,0.668831,0.740741,0.155689,0.382353,0.910377,0.671233,0.495946,0.433333,0.6875,0.745,0.497638,0.62987,0.772727,0.547619,0.500676,0.578947,0.543478,0.0363333,0.177419,0.38,0.45625,0.681159,0.63587,0.942494,0.97102,0.757908,0.252941,0.557252,0.0995907,0.602151,0.713873,0.574468,0.505747,0.666757,0.692308,0.708603,0.677419,0.416667,0.635036,0.299663,0.583942,0.164113,0.902648
1.0,0.0,0.0,-0.8333333333333334,0.5000000000000001,0.0,0.503349,0.1875,0.985862,0.121212,0.503125,0.660883,0.759637,0.668831,0.740741,0.188024,0.382353,0.904717,0.671233,0.495946,0.433333,0.6875,0.745,0.497638,0.62987,0.772727,0.547619,0.500676,0.578947,0.543478,0.0363333,0.177419,0.38,0.45625,0.681159,0.63587,0.942494,0.97102,0.757908,0.252941,0.557252,0.0995907,0.602151,0.713873,0.574468,0.505747,0.761834,0.692308,0.715079,0.677419,0.416667,0.635036,0.299663,0.583942,0.164113,0.904739
1.0,0.0,0.0,-0.8333333333333334,0.25000000000000006,0.0,0.688065,0.1875,0.981609,0.376623,0.503125,0.834385,0.75737,0.668831,0.740741,0.22994,0.382353,0.838679,0.671233,0.981757,0.433333,0.6875,0.745,0.497638,0.62987,0.772727,0.547619,0.982432,0.578947,0.543478,0.0546667,0.177419,0.38,0.6,0.681159,0.841304,0.942494,0.97102,0.757908,0.252941,0.557252,0.100955,0.602151,0.713873,0.574468,0.505747,0.953964,0.692308,0.790934,0.677419,0.416667,0.927007,0.434343,0.583942,0.164113,0.90545
1.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.727799,0.1875,0.948276,0.88961,0.503125,0.816509,0.759637,0.668831,0.740741,0.185629,0.382353,0.55,0.671233,0.951351,0.433333,0.6875,0.745,0.497638,0.62987,0.772727,0.547619,0.982432,0.95614,0.543478,0.748667,0.220968,0.42,0.59375,0.681159,0.844565,0.942494,0.97102,0.757908,0.435294,0.557252,0.949523,0.602151,0.713873,0.574468,0.517241,0.962253,0.692308,0.736355,0.677419,0.416667,0.970803,0.299663,0.919708,0.164113,0.903082
