kernel_rbf,kernel_poly,kernel_linear,c,gamma,degree,perf-on-seismic,perf-on-ijcnn1,perf-on-colon-cancer,perf-on-car,perf-on-pima,perf-on-cod-rna,perf-on-tic-tac-toe,perf-on-pendigits,perf-on-usps,perf-on-sonar-scale,perf-on-vehicle,perf-on-abalone,perf-on-magic,perf-on-australian,perf-on-kr-vs-k,perf-on-crx,perf-on-monk-2,perf-on-segment,perf-on-breast-cancer,perf-on-german-numer,perf-on-led7digit,perf-on-haberman,perf-on-lymphography,perf-on-winequality-red,perf-on-bands,perf-on-letter,perf-on-wine,perf-on-W8A,perf-on-wisconsin,perf-on-shuttle,perf-on-phoneme,perf-on-spambase,perf-on-diabetes,perf-on-appendicitis,perf-on-ecoli,perf-on-wdbc,perf-on-housevotes,perf-on-titanic,perf-on-A9A,perf-on-twonorm,perf-on-chess,perf-on-splice,perf-on-banana,perf-on-ring,perf-on-spectfheart,perf-on-bupa,perf-on-coil2000,perf-on-saheart,perf-on-yeast,perf-on-automobile
1.0,0.0,0.0,-0.8333333333333334,-1.0,0.0,0.494875,0.902648,0.692308,0.713873,0.668831,0.666757,0.6875,0.0995907,0.312903,0.547619,0.252941,0.155689,0.654837,0.543478,0.164113,0.557252,0.505747,0.121212,0.583942,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.0363333,0.416667,0.969861,0.635036,0.781954,0.708603,0.63587,0.62987,0.772727,0.382353,0.578947,0.574468,0.659864,0.757908,0.500676,0.503125,0.497638,0.55,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.8333333333333334,-0.75,0.0,0.627423,0.902648,0.692308,0.713873,0.668831,0.666772,0.6875,0.0995907,0.762366,0.547619,0.252941,0.155689,0.654837,0.543478,0.164113,0.557252,0.505747,0.121212,0.583942,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.0363333,0.416667,0.969861,0.635036,0.781954,0.708603,0.63587,0.62987,0.772727,0.382353,0.578947,0.574468,0.659864,0.781759,0.500676,0.503125,0.497638,0.55,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.8333333333333334,-0.5,0.0,0.693545,0.902648,0.692308,0.713873,0.668831,0.922272,0.6875,0.786266,0.934946,0.547619,0.252941,0.155689,0.654837,0.543478,0.211333,0.557252,0.505747,0.277056,0.729927,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.053,0.416667,0.970479,0.635036,0.785862,0.708603,0.63587,0.62987,0.772727,0.382353,0.578947,0.574468,0.659864,0.834988,0.514865,0.698438,0.83937,0.55,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.8333333333333334,-0.3252574989159953,0.0,0.707094,0.902648,0.692308,0.713873,0.668831,0.958162,0.6875,0.892678,0.63172,0.547619,0.317647,0.155689,0.751052,0.855072,0.235745,0.801527,0.505747,0.577922,0.970803,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.367667,0.416667,0.971252,0.861314,0.848736,0.708603,0.63587,0.62987,0.772727,0.382353,0.578947,0.914894,0.659864,0.826594,0.982432,0.875,0.538583,0.55,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.8333333333333334,-0.25,0.0,0.711966,0.902648,0.692308,0.713873,0.668831,0.96023,0.6875,0.931332,0.355376,0.547619,0.452941,0.155689,0.766824,0.855072,0.248396,0.816794,0.505747,0.857143,0.970803,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.502,0.416667,0.971252,0.941606,0.905862,0.708603,0.63587,0.62987,0.772727,0.382353,0.640351,0.93617,0.752834,0.807452,0.983784,0.903125,0.497638,0.55,0.556081,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.8333333333333334,-0.0752574989159953,0.0,0.724754,0.902648,0.692308,0.713873,0.668831,0.961393,0.6875,0.968622,0.269355,0.547619,0.447059,0.177246,0.807834,0.775362,0.222559,0.557252,0.632184,0.872294,0.963504,0.745,0.39,0.677419,0.433333,0.50625,0.671233,0.712667,0.472222,0.97102,0.970803,0.923218,0.723404,0.802174,0.62987,0.772727,0.382353,0.938596,0.574468,0.759637,0.757908,0.983108,0.503125,0.497638,0.55,0.897297,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.8333333333333334,0.75,0.0,0.494875,0.902648,0.692308,0.713873,0.668831,0.666757,0.6875,0.0995907,0.177419,0.547619,0.252941,0.155689,0.654837,0.543478,0.164113,0.557252,0.505747,0.121212,0.583942,0.745,0.38,0.677419,0.433333,0.45625,0.671233,0.0363333,0.416667,0.97102,0.635036,0.99069,0.708603,0.63587,0.62987,0.772727,0.382353,0.578947,0.574468,0.759637,0.757908,0.500676,0.503125,0.497638,0.910377,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.8333333333333334,0.5000000000000001,0.0,0.503349,0.904739,0.692308,0.713873,0.668831,0.761834,0.6875,0.0995907,0.177419,0.547619,0.252941,0.188024,0.660883,0.543478,0.164113,0.557252,0.505747,0.121212,0.583942,0.745,0.38,0.677419,0.433333,0.45625,0.671233,0.0363333,0.416667,0.97102,0.635036,0.985862,0.715079,0.63587,0.62987,0.772727,0.382353,0.578947,0.574468,0.759637,0.757908,0.500676,0.503125,0.497638,0.904717,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.8333333333333334,0.25000000000000006,0.0,0.688065,0.90545,0.692308,0.713873,0.668831,0.953964,0.6875,0.100955,0.177419,0.547619,0.252941,0.22994,0.834385,0.543478,0.164113,0.557252,0.505747,0.376623,0.583942,0.745,0.38,0.677419,0.433333,0.6,0.671233,0.0546667,0.416667,0.97102,0.927007,0.981609,0.790934,0.841304,0.62987,0.772727,0.382353,0.578947,0.574468,0.75737,0.757908,0.982432,0.503125,0.497638,0.838679,0.981757,0.740741,0.681159,0.942494,0.602151,0.434343,0.1875
1.0,0.0,0.0,-0.8333333333333334,0.0,0.0,0.727799,0.903082,0.692308,0.713873,0.668831,0.962253,0.6875,0.949523,0.220968,0.547619,0.435294,0.185629,0.816509,0.543478,0.164113,0.557252,0.517241,0.88961,0.919708,0.745,0.42,0.677419,0.433333,0.59375,0.671233,0.748667,0.416667,0.97102,0.970803,0.948276,0.736355,0.844565,0.62987,0.772727,0.382353,0.95614,0.574468,0.759637,0.757908,0.982432,0.503125,0.497638,0.55,0.951351,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
